Ejercicio,Código Entidad,Entidad,Código Departamento,Departamento,Código Clase,Clase,Código Sección,Sección,Código Grupo,Grupo,Código Recurso,Recurso,Asignado,Modificado,Vigente,Devengado,Percibido
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10100,IMPUESTOS DIRECTOS,10140,IMPUESTOS MUNICIPALES,10141,SOBRE LA TENENCIA DE PATRIMONIO,"415,210,000.00",0,415210000,"225,714,690.86","225,714,690.86"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10220,IMPUESTOS SOBRE PRODUCTOS INDUSTRIALES Y PRIMARIOS,10223,SOBRE DERIVADOS DEL PETROLEO,"55,000,000.00",0,55000000,"33,620,094.00","33,620,094.00"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10220,IMPUESTOS SOBRE PRODUCTOS INDUSTRIALES Y PRIMARIOS,10224,REGALIAS,"1,180,000.00",0,1180000,"624,708.81","624,708.81"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10282,SOBRE ESTABLECIMIENTOS DE SERVICIOS,"59,500.00",0,59500,"27,140.00","27,140.00"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10284,SOBRE DIVERSIONES Y ESPECTACULOS,"2,626,000.00",0,2626000,"1,163,355.17","1,163,355.17"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10289,OTROS ARBITRIOS MUNICIPALES,"33,723,000.00",0,33723000,"28,454,610.00","28,454,610.00"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11200,TASAS,11290,TASAS Y LICENCIAS VARIAS,11290,TASAS Y LICENCIAS VARIAS,"506,896,500.00",0,506896500,"178,275,815.48","178,275,815.48"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11300,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,"2,100,000.00",0,2100000,"376,866.06","376,866.06"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11400,"ARRENDAMIENTO DE EDIFICIOS, EQUIPOS E INSTALACIONES",11410,DE EDIFICIOS Y VIVIENDAS,11410,DE EDIFICIOS Y VIVIENDAS,"3,570,000.00",0,3570000,"1,466,637.90","1,466,637.90"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11400,"ARRENDAMIENTO DE EDIFICIOS, EQUIPOS E INSTALACIONES",11490,OTROS ARRENDAMIENTOS,11490,OTROS ARRENDAMIENTOS,"5,124,000.00",0,5124000,"1,469,798.60","1,469,798.60"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11600,MULTAS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,"25,225,000.00",0,25225000,"11,289,977.07","11,289,977.07"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11700,INTERESES POR MORA,11710,ORIGINADOS POR INGRESOS NO TRIBUTARIOS,11710,ORIGINADOS POR INGRESOS NO TRIBUTARIOS,"1,843,200.00",0,1843200,"611,422.86","611,422.86"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,13000,VTA. DE BIENES Y SERV. DE LA ADM. PÚBLICA,13200,VENTA DE SERVICIOS,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,"72,256,500.00",0,72256500,"42,694,669.82","42,694,669.82"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14200,VENTA DE SERVICIOS,14240,SERVICIOS PÚBLICOS MUNICIPALES,14240,SERVICIOS PÚBLICOS MUNICIPALES,"35,791,300.00",0,35791300,"12,745,581.68","12,745,581.68"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,15000,RENTAS DE LA PROPIEDAD,15100,INTERESES,15130,POR DEPOSITOS,15131,POR DEPOSITOS INTERNOS,"2,000,000.00",0,2000000,"1,199,174.65","1,199,174.65"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,15000,RENTAS DE LA PROPIEDAD,15300,ARRENDAMIENTO DE TIERRAS Y TERRENOS,15310,ARRENDAMIENTO DE TIERRAS Y TERRENOS,15310,ARRENDAMIENTO DE TIERRAS Y TERRENOS,"11,400.00",0,11400,0.00,0.00
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16100,DEL SECTOR PRIVADO,16130,DE EMPRESAS PRIVADAS,16130,DE EMPRESAS PRIVADAS,"581,600.00",0,581600,"272,175.00","272,175.00"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16400,DONACIONES CORRIENTES,16420,DE ORGANISMOS E INSTITUCIONES INTERNACIONALES,16420,DE ORGANISMOS E INSTITUCIONES INTERNACIONALES,"35,700,000.00",0,35700000,"240,360.21","240,360.21"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,17000,TRANSFERENCIAS DE CAPITAL,17200,DEL SECTOR PÚBLICO,17210,DE LA ADMINISTRACIÓN CENTRAL,17210,DE LA ADMINISTRACIÓN CENTRAL,"221,102,000.00",0,221102000,"93,842,806.00","93,842,806.00"
2017,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,23000,DISMINUCIÓN DE OTROS ACTIVOS FINANCIEROS,23100,DISMINUCIÓN DE DISPONIBILIDADES,23110,DISMINUCIÓN DE CAJA Y BANCOS,23110,DISMINUCIÓN DE CAJA Y BANCOS,"15,000,000.00",73531643,88531643,0.00,0.00
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10100,IMPUESTOS DIRECTOS,10140,IMPUESTOS MUNICIPALES,10141,SOBRE LA TENENCIA DE PATRIMONIO,"76,800,000.00",0,76800000,"33,339,432.85","33,339,432.85"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10281,SOBRE ESTABLECIMIENTOS COMERCIALES,"300,000.00",0,300000,"111,699.25","111,699.25"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10282,SOBRE ESTABLECIMIENTOS DE SERVICIOS,"400,000.00",0,400000,"105,950.00","105,950.00"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10284,SOBRE DIVERSIONES Y ESPECTACULOS,0.00,0,0,"45,837.00","45,837.00"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10289,OTROS ARBITRIOS MUNICIPALES,"1,100,000.00",0,1100000,"698,345.00","698,345.00"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11200,TASAS,11290,TASAS Y LICENCIAS VARIAS,11290,TASAS Y LICENCIAS VARIAS,"35,576,000.00",0,35576000,"13,995,707.21","13,995,707.21"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11300,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,"500,000.00",0,500000,"69,916.00","69,916.00"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11400,"ARRENDAMIENTO DE EDIFICIOS, EQUIPOS E INSTALACIONES",11410,DE EDIFICIOS Y VIVIENDAS,11410,DE EDIFICIOS Y VIVIENDAS,"477,000.00",0,477000,"244,200.00","244,200.00"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11600,MULTAS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,"7,783,000.00",0,7783000,"3,599,408.29","3,599,408.29"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11900,OTROS INGRESOS NO TRIBUTARIOS,11990,OTROS INGRESOS NO TRIBUTARIOS,11990,OTROS INGRESOS NO TRIBUTARIOS,"455,000.00",0,455000,"52,063.00","52,063.00"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,13000,VTA. DE BIENES Y SERV. DE LA ADM. PÚBLICA,13200,VENTA DE SERVICIOS,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,"4,110,734.00",0,4110734,"1,993,761.46","1,993,761.46"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14200,VENTA DE SERVICIOS,14240,SERVICIOS PÚBLICOS MUNICIPALES,14240,SERVICIOS PÚBLICOS MUNICIPALES,"7,398,800.00",0,7398800,"3,349,789.79","3,349,789.79"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,15000,RENTAS DE LA PROPIEDAD,15100,INTERESES,15130,POR DEPOSITOS,15131,POR DEPOSITOS INTERNOS,"5,200,000.00",0,5200000,"3,710,376.94","3,710,376.94"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16200,DEL SECTOR PÚBLICO,16210,DE LA ADMINISTRACIÓN CENTRAL,16210,DE LA ADMINISTRACIÓN CENTRAL,"9,900,000.00",0,9900000,"5,274,713.44","5,274,713.44"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16400,DONACIONES CORRIENTES,16420,DE ORGANISMOS E INSTITUCIONES INTERNACIONALES,16420,DE ORGANISMOS E INSTITUCIONES INTERNACIONALES,0.00,1348347.25,1348347.25,"1,348,347.25","1,348,347.25"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,17000,TRANSFERENCIAS DE CAPITAL,17200,DEL SECTOR PÚBLICO,17210,DE LA ADMINISTRACIÓN CENTRAL,17210,DE LA ADMINISTRACIÓN CENTRAL,"49,600,000.00",0,49600000,"26,778,209.12","26,778,209.12"
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,17000,TRANSFERENCIAS DE CAPITAL,17200,DEL SECTOR PÚBLICO,17220,DE ENTIDADES DESCENT. Y AUTONOMAS NO FINAN.,17220,DE ENTIDADES DESCENT. Y AUTONOMAS NO FINAN.,"12,399,466.00",4231728.5,16631194.5,"1,865,011.50","1,865,011.50"
